Specification,Model,RMSE,R2,DM_p(vs baseline),Significant
A1_WDI_only,RandomForest,5.451571465147596,0.8557905224810707,,
A1_WDI_only,XGBoost,5.015123671196657,0.8779567742307827,,
A1_WDI_only,SARIMAX,4.078146955307703,0.919299518316199,,
A1_WDI_only,LSTM,3.384275152797344,0.9444247129148848,,
A1_WDI_only,Bayes_Partial,12.099465686432287,0.2896330157031557,,
A1_WDI_only,Bayes_Complete,12.099465686432287,0.2896330157031557,,
A2_WDI_PCA1,RandomForest,5.652870329068628,0.8449440519685485,0.922,No
A2_WDI_PCA1,XGBoost,5.006919343198247,0.8783557528849245,0.908,No
A2_WDI_PCA1,SARIMAX,4.078146955307703,0.919299518316199,0.0,Yes
A2_WDI_PCA1,LSTM,3.37907014909633,0.9445955306611378,0.99,No
A2_WDI_PCA1,Bayes_Partial,12.099465686432287,0.2896330157031557,0.0,Yes
A2_WDI_PCA1,Bayes_Complete,12.099465686432287,0.2896330157031557,0.0,Yes
A3_WDI_6WGI,RandomForest,5.5029754875409616,0.8530581373755024,0.982,No
A3_WDI_6WGI,XGBoost,4.968308360985726,0.8802246442256505,0.888,No
A3_WDI_6WGI,SARIMAX,4.078146955307703,0.919299518316199,0.0,Yes
A3_WDI_6WGI,LSTM,3.390444498872662,0.9442219068934724,0.968,No
A3_WDI_6WGI,Bayes_Partial,12.099465686432287,0.2896330157031557,0.0,Yes
A3_WDI_6WGI,Bayes_Complete,12.099465686432287,0.2896330157031557,0.0,Yes
A4_WDI_PCA_inter,RandomForest,5.537651371253147,0.8512004541731171,0.974,No
A4_WDI_PCA_inter,XGBoost,5.086788254478857,0.874443932836968,0.984,No
A4_WDI_PCA_inter,SARIMAX,4.078146955307703,0.919299518316199,0.0,Yes
A4_WDI_PCA_inter,LSTM,3.3833603682007545,0.9444547533479,0.986,No
A4_WDI_PCA_inter,Bayes_Partial,11.261208250406176,0.384652608815683,0.98,No
A4_WDI_PCA_inter,Bayes_Complete,11.261208250406176,0.384652608815683,0.984,No
A5_WDI_6WGI_inter,RandomForest,5.615974903759099,0.8469614998283098,0.906,No
A5_WDI_6WGI_inter,XGBoost,5.065281582994968,0.8755033772668742,0.962,No
A5_WDI_6WGI_inter,SARIMAX,4.078146955307703,0.919299518316199,0.0,Yes
A5_WDI_6WGI_inter,LSTM,3.388795267601639,0.9442761585419506,0.942,No
A5_WDI_6WGI_inter,Bayes_Partial,11.788715695106154,0.3256530894124585,0.958,No
A5_WDI_6WGI_inter,Bayes_Complete,11.788715695106154,0.3256530894124585,0.97,No
