Specification,Model,Search_Method,N_Trials,Selection_Criterion,Seed,Best_Params
A1_WDI_only,RandomForest,Optuna TPE,50,RMSE on inner validation slice,42,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}"
A1_WDI_only,XGBoost,Optuna TPE,—,RMSE on inner validation slice,42,"{'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.5, 'reg_lambda': 2.0}"
A1_WDI_only,SARIMAX,AIC order selection,—,AIC on training fold,42,—
A1_WDI_only,LSTM,fixed architecture + early stopping,—,validation MSE (early stopping),42,—
A1_WDI_only,Bayes_Partial,MCMC (partial pooling) / BayesianRidge fallback,—,R-hat convergence / validation MSE,42,—
A1_WDI_only,Bayes_Complete,MCMC (complete pooling) / BayesianRidge fallback,—,R-hat convergence / validation MSE,42,—
A2_WDI_PCA1,RandomForest,Optuna TPE,50,RMSE on inner validation slice,42,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}"
A2_WDI_PCA1,XGBoost,Optuna TPE,—,RMSE on inner validation slice,42,"{'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.5, 'reg_lambda': 2.0}"
A2_WDI_PCA1,SARIMAX,AIC order selection,—,AIC on training fold,42,—
A2_WDI_PCA1,LSTM,fixed architecture + early stopping,—,validation MSE (early stopping),42,—
A2_WDI_PCA1,Bayes_Partial,MCMC (partial pooling) / BayesianRidge fallback,—,R-hat convergence / validation MSE,42,—
A2_WDI_PCA1,Bayes_Complete,MCMC (complete pooling) / BayesianRidge fallback,—,R-hat convergence / validation MSE,42,—
A3_WDI_6WGI,RandomForest,Optuna TPE,50,RMSE on inner validation slice,42,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}"
A3_WDI_6WGI,XGBoost,Optuna TPE,—,RMSE on inner validation slice,42,"{'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.5, 'reg_lambda': 2.0}"
A3_WDI_6WGI,SARIMAX,AIC order selection,—,AIC on training fold,42,—
A3_WDI_6WGI,LSTM,fixed architecture + early stopping,—,validation MSE (early stopping),42,—
A3_WDI_6WGI,Bayes_Partial,MCMC (partial pooling) / BayesianRidge fallback,—,R-hat convergence / validation MSE,42,—
A3_WDI_6WGI,Bayes_Complete,MCMC (complete pooling) / BayesianRidge fallback,—,R-hat convergence / validation MSE,42,—
A4_WDI_PCA_inter,RandomForest,Optuna TPE,50,RMSE on inner validation slice,42,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}"
A4_WDI_PCA_inter,XGBoost,Optuna TPE,—,RMSE on inner validation slice,42,"{'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.5, 'reg_lambda': 2.0}"
A4_WDI_PCA_inter,SARIMAX,AIC order selection,—,AIC on training fold,42,—
A4_WDI_PCA_inter,LSTM,fixed architecture + early stopping,—,validation MSE (early stopping),42,—
A4_WDI_PCA_inter,Bayes_Partial,MCMC (partial pooling) / BayesianRidge fallback,—,R-hat convergence / validation MSE,42,—
A4_WDI_PCA_inter,Bayes_Complete,MCMC (complete pooling) / BayesianRidge fallback,—,R-hat convergence / validation MSE,42,—
A5_WDI_6WGI_inter,RandomForest,Optuna TPE,50,RMSE on inner validation slice,42,"{'n_estimators': 200, 'max_depth': 10, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'sqrt'}"
A5_WDI_6WGI_inter,XGBoost,Optuna TPE,—,RMSE on inner validation slice,42,"{'max_depth': 5, 'learning_rate': 0.05, 'subsample': 0.8, 'colsample_bytree': 0.8, 'reg_alpha': 0.5, 'reg_lambda': 2.0}"
A5_WDI_6WGI_inter,SARIMAX,AIC order selection,—,AIC on training fold,42,—
A5_WDI_6WGI_inter,LSTM,fixed architecture + early stopping,—,validation MSE (early stopping),42,—
A5_WDI_6WGI_inter,Bayes_Partial,MCMC (partial pooling) / BayesianRidge fallback,—,R-hat convergence / validation MSE,42,—
A5_WDI_6WGI_inter,Bayes_Complete,MCMC (complete pooling) / BayesianRidge fallback,—,R-hat convergence / validation MSE,42,—
