Specification,Model,RMSE,MAE,R2,MASE
A1_WDI_only,Bayes_Complete,11.3963,9.3492,0.2643,2.7811
A1_WDI_only,Bayes_Partial,11.3963,9.3492,0.2643,2.7811
A1_WDI_only,LSTM,2.2337,1.6019,0.968,0.4811
A1_WDI_only,RandomForest,3.9354,2.8337,0.8956,0.8528
A1_WDI_only,SARIMAX,2.5237,1.672,0.9574,0.5027
A1_WDI_only,XGBoost,3.0565,2.0334,0.9392,0.6144
A2_WDI_PCA1,Bayes_Complete,11.3963,9.3492,0.2643,2.7811
A2_WDI_PCA1,Bayes_Partial,11.3963,9.3492,0.2643,2.7811
A2_WDI_PCA1,LSTM,2.2407,1.6091,0.9677,0.4834
A2_WDI_PCA1,RandomForest,4.2067,3.0724,0.8812,0.9248
A2_WDI_PCA1,SARIMAX,2.5237,1.672,0.9574,0.5027
A2_WDI_PCA1,XGBoost,3.0665,2.0704,0.939,0.6263
A3_WDI_6WGI,Bayes_Complete,11.3963,9.3492,0.2643,2.7811
A3_WDI_6WGI,Bayes_Partial,11.3963,9.3492,0.2643,2.7811
A3_WDI_6WGI,LSTM,2.3243,1.6726,0.966,0.5005
A3_WDI_6WGI,RandomForest,4.0809,2.9656,0.8857,0.893
A3_WDI_6WGI,SARIMAX,2.5237,1.672,0.9574,0.5027
A3_WDI_6WGI,XGBoost,3.0765,2.0777,0.9365,0.6296
A4_WDI_PCA_inter,Bayes_Complete,10.2887,7.907,0.3659,2.3619
A4_WDI_PCA_inter,Bayes_Partial,10.2887,7.907,0.3659,2.3619
A4_WDI_PCA_inter,LSTM,2.2857,1.6392,0.967,0.491
A4_WDI_PCA_inter,RandomForest,3.9918,2.8956,0.8898,0.8726
A4_WDI_PCA_inter,SARIMAX,2.5237,1.672,0.9574,0.5027
A4_WDI_PCA_inter,XGBoost,3.1309,2.0874,0.9356,0.6312
A5_WDI_6WGI_inter,Bayes_Complete,10.328,7.926,0.3642,2.3668
A5_WDI_6WGI_inter,Bayes_Partial,10.328,7.926,0.3642,2.3668
A5_WDI_6WGI_inter,LSTM,2.3342,1.6785,0.9658,0.5013
A5_WDI_6WGI_inter,RandomForest,4.2444,3.0948,0.8773,0.9317
A5_WDI_6WGI_inter,SARIMAX,2.5237,1.672,0.9574,0.5027
A5_WDI_6WGI_inter,XGBoost,3.1506,2.1133,0.9338,0.6412
