fold,spec,model,RMSE,MAE,R2,MASE,n_train,n_test
1,A1_WDI_only,RandomForest,4.2918752930115405,3.1794230746789833,0.9425115149441666,0.8324410919410483,346,74
2,A1_WDI_only,RandomForest,3.142355454702711,2.3005690652777484,0.9615029562351094,0.6305252447750369,409,74
3,A1_WDI_only,RandomForest,4.503715724220412,3.3627862755535793,0.824004098589894,1.02999545233761,472,74
4,A1_WDI_only,RandomForest,2.8283348318062154,2.265143086980381,0.9419226108367722,0.7418190297219294,535,74
5,A1_WDI_only,RandomForest,4.910674617193733,3.0608161055423784,0.8082194590563757,1.029388578318278,598,74
1,A1_WDI_only,XGBoost,3.261963552988566,2.1467584980181624,0.9667918345698236,0.562067377083623,346,74
2,A1_WDI_only,XGBoost,2.4228950832384673,1.6346336957044747,0.9771131523513711,0.4480099409565664,409,74
3,A1_WDI_only,XGBoost,3.1707339483409034,2.239124258203167,0.9127671183230076,0.6858264588309072,472,74
4,A1_WDI_only,XGBoost,2.8409056143885034,2.078170510218372,0.9414052034405166,0.6805867763268026,535,74
5,A1_WDI_only,XGBoost,3.5857798037416457,2.0682481710596727,0.8977438456628651,0.6955762682251143,598,74
1,A1_WDI_only,SARIMAX,2.638925451337466,1.9016641260960818,0.9782659371350617,0.49789641845395954,346,74
2,A1_WDI_only,SARIMAX,2.2127066932336192,1.483666416847685,0.9809118226897374,0.4066337954233279,409,74
3,A1_WDI_only,SARIMAX,2.4664030462261572,1.7509108560579774,0.9472176514224413,0.5362904661228847,472,74
4,A1_WDI_only,SARIMAX,1.8626272334460199,1.2989915015129267,0.9748117881377928,0.42541092472614195,535,74
5,A1_WDI_only,SARIMAX,3.4379316373959625,1.9248696122100386,0.9060024151192736,0.6473563668111432,598,74
1,A1_WDI_only,LSTM,2.5972594250661936,1.9474607528640213,0.9789468377568555,0.5098869567052331,346,74
2,A1_WDI_only,LSTM,1.6940441817484206,1.2973125232999823,0.9888116452781105,0.3555591130252315,409,74
3,A1_WDI_only,LSTM,2.170077233520337,1.6183921696934358,0.9591388113802565,0.49570101644613934,472,74
4,A1_WDI_only,LSTM,2.012826047160621,1.552893518607998,0.9705857399098989,0.5085621168289735,535,74
5,A1_WDI_only,LSTM,2.6942683005950125,1.59363840811998,0.9422696879526299,0.5359594038719085,598,74
1,A1_WDI_only,Bayes_Partial,14.783903307213093,11.682303460251376,0.31787353067569235,3.0586773827890865,346,74
